1,4,V0101
5,2,UF
5,8,V0102
13,3,V0103
16,2,V0104
18,2,V0105
20,2,V0106
22,1,V0201
23,1,V0202
24,1,V0203
25,1,V0204
26,2,V0205
28,2,V0206
30,1,V0207
31,12,V0208
43,12,V0209
55,1,V0210
56,1,V0211
57,1,V0212
58,1,V0213
59,1,V0214
60,1,V0215
61,1,V0216
62,2,V2016
64,1,V0217
65,1,V0218
66,1,V0219
67,1,V0220
68,1,V2020
69,1,V0221
70,1,V0222
71,1,V0223
72,1,V0224
73,1,V0225
74,1,V0226
75,1,V0227
76,2,V02270
78,2,V02271
80,1,V02272
81,1,V02273
82,1,V02274
83,1,V2027
84,1,V0228
85,1,V0229
86,1,V0230
87,1,V0231
88,1,V0232
89,1,V02321
90,1,V02322
91,1,V02323
92,1,V02324
93,1,V02325
94,1,V02326
95,1,V02327
96,1,V02424
97,1,V02425
98,1,V02426
99,1,V2032
100,1,V4105
101,1,V4107
102,2,V4600
104,2,V4601
106,4,V4602
110,2,V4604
112,12,V4605
124,3,V4606
127,12,V4607
139,6,V4608
145,9,V4609
154,3,V4610
157,5,V4611
162,12,V4614
174,4,UPA
178,7,V4617
185,7,V4618
192,2,V4620
194,12,V4621
206,2,V4622
208,1,V4624
209,1,V4628
210,7,V4629
217,5,V4630
222,7,V4632
229,5,V4633
234,8,V9992
